"Population at the first day of the quarter by marital status, sex,"
"region, age and time"

" "," "," "," ","2009Q4","2010Q1","2010Q2","2010Q3","2010Q4","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1","2019Q2","2019Q3","2019Q4","2020Q1","2020Q2","2020Q3","2020Q4","2021Q1","2021Q2","2021Q3","2021Q4"
"Total"
" ","Total"
" "," ","All Denmark"
" "," "," ","54 years",71684,71987,72196,71983,72586,72783,72360,72445,72112,72031,72387,72790,72005,72471,72413,71776,72488,72034,72411,73461,74432,75167,75110,74930,74857,75201,76059,76914,77511,77335,77959,79194,80357,81931,82873,82800,83230,83712,83842,84691,85500,85835,86541,87307,87924,88708,88248,87205,85299
" "," "," ","55 years",70349,70362,70667,71038,71277,71575,71786,71620,72228,72390,71927,72047,71736,71700,72075,72480,71772,72234,72182,71495,72179,71738,72126,73194,74154,74921,74838,74676,74604,74929,75790,76651,77225,77080,77703,78940,80109,81630,82582,82527,82947,83408,83539,84366,85207,85600,86337,87123,87798
" "," "," ","56 years",72074,71338,70741,70194,69937,69951,70197,70568,70841,71144,71385,71209,71769,71965,71552,71653,71367,71362,71800,72221,71499,71921,71813,71203,71939,71502,71846,72908,73877,74632,74518,74343,74284,74616,75478,76373,76964,76815,77449,78666,79810,81314,82277,82198,82619,83160,83312,84200,85013
" "," "," ","57 years",69039,69775,70488,71138,71613,70850,70264,69760,69486,69514,69748,70103,70393,70706,70931,70776,71331,71558,71185,71319,71053,71035,71482,71889,71163,71602,71509,70897,71609,71143,71506,72566,73509,74291,74174,73977,73898,74277,75164,76070,76632,76439,77099,78313,79505,81013,81998,81917,82408
" "," "," ","58 years",68483,68357,68001,68029,68581,69330,69993,70610,71115,70381,69812,69346,69057,69060,69274,69652,69954,70307,70536,70417,70958,71167,70828,70996,70692,70664,71118,71536,70851,71258,71123,70506,71236,70787,71126,72198,73155,73868,73770,73583,73581,73951,74834,75704,76269,76105,76784,78023,79159
" "," "," ","59 years",70339,70172,69621,68891,67952,67837,67517,67535,68066,68814,69523,70126,70637,69950,69366,68863,68583,68585,68839,69219,69587,69920,70121,70007,70562,70785,70430,70576,70283,70248,70742,71081,70435,70839,70717,70106,70835,70404,70721,71794,72704,73426,73339,73183,73216,73642,74477,75314,75891
" "," "," ","60 years",70062,69486,69694,69756,69777,69625,69070,68331,67430,67343,66987,67020,67548,68260,68971,69600,70093,69398,68878,68374,68106,68151,68381,68770,69124,69455,69661,69535,70084,70326,69994,70139,69813,69810,70294,70616,69959,70375,70298,69684,70387,69935,70287,71320,72241,72965,72901,72800,72830
" "," "," ","61 years",73001,72553,71313,70513,69456,68813,69065,69146,69177,69016,68460,67741,66865,66782,66402,66414,66965,67697,68451,69088,69573,68833,68296,67808,67554,67597,67870,68271,68616,68926,69135,69022,69634,69833,69486,69688,69337,69363,69802,70094,69502,69869,69756,69152,69900,69498,69869,70902,71795
" "," "," ","62 years",77800,76715,75209,73330,72254,71844,70622,69846,68802,68212,68460,68550,68563,68413,67881,67170,66296,66238,65801,65818,66407,67151,67869,68523,68975,68264,67781,67253,67025,67067,67352,67703,68060,68387,68588,68473,69060,69315,68925,69186,68802,68816,69284,69584,68971,69353,69285,68740,69496
" "," "," ","63 years",78864,78633,78233,77714,76960,75897,74474,72631,71605,71159,69956,69208,68182,67546,67809,67920,67906,67784,67249,66585,65677,65587,65197,65241,65831,66543,67286,67939,68377,67677,67155,66699,66463,66507,66768,67101,67433,67737,67967,67848,68481,68692,68306,68576,68181,68219,68708,69046,68443
" "," "," ","64 years",74626,75270,76375,77699,78006,77749,77299,76837,76133,75123,73738,71909,70872,70480,69251,68517,67493,66865,67131,67208,67222,67095,66577,65934,65061,65000,64527,64550,65155,65860,66576,67259,67712,67058,66513,66059,65824,65880,66166,66512,66823,67059,67337,67226,67854,68079,67706,67951,67579
" "," "," ","65 years",69853,70842,71901,73028,73731,74373,75466,76763,77041,76839,76434,76015,75342,74300,72954,71142,70132,69801,68589,67830,66829,66180,66420,66464,66499,66392,65915,65252,64383,64274,63843,63891,64490,65188,65944,66599,67030,66404,65861,65388,65166,65209,65481,65855,66194,66442,66713,66590,67182
" "," "," ","66 years",63381,64507,66591,67688,68875,69839,70858,72021,72752,73366,74493,75775,76091,75896,75493,75089,74417,73434,72116,70343,69358,69005,67791,67098,66007,65395,65642,65734,65735,65615,65144,64512,63702,63571,63110,63180,63695,64405,65196,65830,66283,65611,65068,64595,64419,64490,64816,65176,65493
" "," "," ","67 years",58596,60075,61101,61835,62433,63593,65640,66741,67900,68864,69849,71006,71748,72355,73456,74731,75084,74907,74570,74167,73515,72556,71243,69526,68580,68177,66956,66226,65189,64559,64803,64921,64919,64841,64347,63681,62879,62766,62252,62302,62863,63587,64380,65004,65459,64797,64269,63868,63702
" "," "," ","68 years",52101,52776,54068,55891,57682,59128,60140,60925,61554,62632,64688,65744,66918,67844,68851,70004,70766,71400,72487,73743,74044,73822,73537,73167,72571,71636,70290,68594,67620,67240,66043,65332,64354,63720,63949,64056,64032,63940,63434,62810,61999,61861,61372,61475,62015,62791,63572,64167,64616
" "," "," ","69 years",50512,50641,50042,50605,51195,51864,53168,54948,56696,58164,59146,59913,60524,61640,63622,64669,65840,66770,67735,68914,69660,70317,71361,72620,72950,72748,72450,72087,71520,70608,69332,67663,66636,66308,65153,64416,63408,62744,63004,63095,63120,63007,62480,61834,61028,60949,60507,60626,61098
" "," "," ","70 years",47421,47535,48693,48910,49584,49726,49125,49679,50270,50946,52228,53949,55651,57084,58060,58866,59443,60551,62557,63595,64719,65645,66662,67786,68545,69189,70213,71505,71822,71639,71329,70965,70393,69467,68181,66511,65503,65273,64161,63445,62458,61805,62071,62128,62138,61963,61480,60877,60115
" "," "," ","71 years",46174,46321,45995,46152,46407,46545,47719,47935,48591,48762,48169,48742,49311,49923,51223,52911,54639,56023,57011,57789,58344,59414,61346,62388,63563,64462,65450,66570,67346,67932,68966,70243,70577,70445,70086,69750,69200,68244,67058,65419,64428,64190,63073,62392,61421,60762,61049,61105,61094
